Scala-Nr.;R;G;B;HBW;RAL
54.09.12;191;196;210;58,3;
54.09.15;168;175;195;46,0;
54.09.18;146;154;175;34,8;
54.09.21;118;126;148;23,0;
54.09.24;94;101;124;14,9;
54.09.27;72;80;106;10,3;
54.09.30;56;64;86;7,0;
54.12.06;220;226;235;76,9;
54.12.09;201;208;224;64,8;
54.12.12;187;199;221;59,3;
54.12.15;162;175;204;45,1;
54.12.18;138;151;184;33,4;
54.12.21;112;129;174;24,4;
54.12.24;86;101;150;15,5;
54.12.27;66;79;124;10,2;
54.12.30;52;62;105;7,1;
54.15.12;185;197;229;58,2;
54.15.15;132;146;183;45,8;
54.15.18;133;154;203;34,8;
54.15.21;108;129;184;24,4;
54.15.24;79;104;170;16,5;
54.15.27;62;75;133;10,6;
54.15.30;55;62;74;7,4;RAL 5002
57.06.03;226;228;227;79,0;
57.06.06;215;222;230;74,5;
57.06.09;208;216;226;69,6;
57.06.12;194;204;214;62,6;
57.06.15;168;180;192;47,2;
57.06.18;144;155;168;34,7;
57.06.21;121;131;145;24,7;
57.06.24;95;104;116;15,4;
57.06.27;74;82;95;10,2;
57.06.30;55;62;73;6,5;
57.06.33;46;47;49;4,8;RAL 9011
57.09.09;196;209;226;65,6;
57.09.12;183;195;209;55,6;
57.09.15;161;173;187;43,2;
57.09.18;139;151;171;32,5;
57.09.21;121;133;153;25,1;
57.09.24;93;104;127;15,6;
57.09.27;78;87;112;11,6;
57.09.30;56;66;86;7,4;
57.09.33;44;55;70;5,2;RAL 5011
57.09.36;36;41;54;4,4;
57.12.09;198;212;231;66,5;
57.12.12;180;198;224;57,6;
57.12.15;162;180;208;47,3;
57.12.18;137;155;187;34,6;
57.12.21;114;132;167;24,5;
57.12.24;87;104;139;16,0;
57.12.27;59;80;116;9,9;
57.12.30;52;66;92;6,4;RAL 5003
57.12.33;45;58;89;6,1;RAL 5013
57.15.12;176;195;229;56,4;
57.15.15;153;175;215;44,7;
57.15.18;130;157;201;35,4;
57.15.21;107;132;178;24,8;
57.15.24;78;103;147;15,4;
57.15.27;50;80;125;9,9;
57.15.30;36;64;102;6,9;
57.18.15;150;178;223;45,9;
57.18.18;123;156;208;34,8;
57.18.21;84;121;175;20,8;
57.18.24;68;102;155;15,0;
57.18.27;45;80;133;9,9;
57.18.30;30;63;109;6,7;
57.21.18;116;153;211;33,2;
57.21.21;101;134;192;25,5;
57.21.24;75;109;176;17,7;
57.21.27;58;95;153;13,2;
57.21.30;39;82;143;10,3;
60.03.24;143;147;150;30,9;RAL 7045
60.06.03;233;235;233;84,9;
60.06.06;223;226;230;78,2;
60.06.09;204;208;212;65,1;
60.06.12;186;192;197;54,4;
60.06.15;172;176;182;45,4;
60.06.18;151;156;161;35,0;
60.06.19;134;139;146;27,8;
60.06.21;120;124;131;22,3;
60.06.24;98;102;108;15,0;
60.06.27;85;88;94;11,3;RAL 7015
60.06.30;74;77;83;9,3;RAL 7024
60.09.03;222;231;235;81,4;
60.09.06;213;226;234;76,6;
60.09.09;192;206;217;62,5;
60.09.12;186;199;212;58,3;
60.09.15;165;179;195;46,7;
60.09.18;143;159;176;36,1;
60.09.19;124;144;167;29,4;
60.09.21;107;126;151;21,5;RAL 5014
60.09.24;86;105;127;15,5;
60.09.27;66;84;106;10,4;
60.09.30;48;63;83;6,7;
60.09.33;44;47;55;4,6;RAL 5004
60.12.09;195;212;228;66,3;
60.12.12;178;198;217;56,8;
60.12.15;154;177;204;45,3;
60.12.18;131;157;188;34,6;
60.12.21;106;134;166;24,4;
60.12.24;80;108;142;16,3;RAL 5023
60.12.27;62;84;116;10,0;RAL 5000
60.12.30;41;64;94;6,8;
60.15.09;193;213;235;67,2;
60.15.12;176;201;226;59,0;
60.15.15;146;179;216;45,6;
60.15.18;122;156;197;34,2;
60.15.21;95;133;175;24,3;
60.15.24;67;108;150;16,1;
60.15.27;43;83;124;10,0;
60.15.30;30;66;103;7,0;
60.18.12;172;202;231;58,4;
60.18.15;135;177;223;44,5;
60.18.18;113;156;204;34,2;
60.18.21;78;138;191;25,3;
60.18.24;56;112;165;17,1;
60.18.27;22;83;126;9,2;RAL 5010
60.21.18;99;157;213;33,4;
60.21.21;58;135;197;24,2;
60.21.24;31;115;175;17,2;
60.21.27;9;85;137;10,0;RAL 5005
60.ME.01;170;171;170;~ 53;RAL 9006
63.03.15;153;158;162;36,1;RAL 7040
63.03.18;140;148;155;31,5;RAL 7001
63.03.21;128;134;139;25,5;RAL 7046
63.06.03;219;228;237;80,5;
63.06.06;206;219;229;72,8;
63.06.09;196;209;220;66,3;
63.06.12;187;201;213;60,4;
63.06.15;167;179;191;46,9;
63.06.18;142;153;164;33,8;
63.06.21;114;125;135;22,3;
63.06.24;93;105;116;15,6;
63.06.27;71;82;94;9,9;
63.06.30;58;68;77;6,9;RAL 5008
63.06.33;56;58;61;6,2;RAL 7021
63.09.03;216;233;239;81,4;
63.09.06;207;227;234;76,2;
63.09.09;185;206;216;62,0;
63.09.12;177;204;219;60,1;
63.09.15;158;182;197;47,0;
63.09.18;134;157;174;34,5;
63.09.21;104;130;147;23,0;
63.09.24;79;106;125;15,4;
63.09.27;64;87;104;11,2;
63.12.03;208;224;227;74,7;
63.12.06;196;226;237;73,8;
63.12.09;172;210;231;62,8;
63.12.12;146;184;208;47,3;
63.12.15;124;164;189;36,6;
63.12.18;105;147;172;28,3;RAL 5024
63.12.21;96;135;162;24,4;
63.12.24;71;108;141;15,0;RAL 5007
63.12.27;44;84;113;10,0;
63.12.30;33;63;90;6,7;
63.15.12;162;203;227;57,6;
63.15.15;131;185;215;46,8;
63.15.18;111;165;202;36,7;
63.15.21;81;137;173;24,9;
63.15.24;53;112;149;16,2;
63.15.27;55;97;122;11,7;RAL 5009
63.18.12;149;204;232;57,3;
63.18.15;109;185;225;45,3;
63.18.18;90;165;211;36,2;
63.18.21;52;135;181;23,5;RAL 5012
63.18.24;35;125;176;18,9;RAL 5015
63.18.27;33;97;134;11,9;RAL 5019
63.21.27;0;94;142;11,3;RAL 5017
63.ME.01;163;169;174;~ 13;
66.03.03;219;222;217;75,6;
66.03.06;214;220;216;72,9;
66.03.09;197;206;206;63,5;
66.03.12;188;198;200;58,3;
66.03.15;171;183;187;48,9;
66.03.18;146;161;169;37,0;
66.06.03;212;228;230;78,9;
66.06.06;210;225;228;75,4;
66.06.09;193;211;218;65,6;
66.06.12;180;199;206;57,5;
66.06.15;155;173;182;42,6;
66.06.18;138;154;164;33,5;
66.06.21;125;136;143;26,1;RAL 7000
66.06.24;96;107;113;16,3;RAL 7031
66.06.27;68;82;92;9,6;
66.06.30;50;63;70;6,4;
66.09.12;177;201;209;57,9;
66.09.15;156;181;192;46,0;
66.09.18;125;153;169;32,3;
66.09.21;95;129;145;22,4;
66.09.24;73;105;122;14,9;
66.09.27;51;80;96;9,1;
66.09.30;40;65;79;6,6;
66.12.03;210;229;234;78,4;
66.12.06;202;227;237;75,9;
66.12.09;191;219;231;69,8;
66.12.12;163;200;216;56,2;
66.12.15;132;185;207;46,1;
66.12.18;104;156;178;32,1;
66.12.21;82;135;159;23,4;
66.12.24;60;111;135;15,9;
66.12.27;37;86;111;10,1;
66.12.30;14;73;93;7,6;
66.15.09;163;211;230;62,3;
66.15.12;144;202;225;55,7;
66.15.15;109;190;222;47,3;
66.15.18;78;164;195;34,2;
66.15.21;52;138;171;23,8;
66.15.24;21;114;145;16,0;
66.15.27;0;92;124;10,7;
66.15.30;39;79;103;8,5;RAL 5001
66.18.12;132;206;232;56,9;
66.18.15;87;187;223;45,0;
66.18.18;11;165;206;33,4;
66.18.21;0;142;185;24,7;
66.18.24;0;115;158;15,7;
66.18.27;0;96;134;11,5;
69.03.03;231;237;234;85,4;
69.03.06;215;223;222;73,7;
69.03.09;198;208;206;63,5;
69.03.12;178;189;191;51,9;
69.03.15;164;174;175;43,5;
69.03.18;142;151;153;32,6;
69.03.21;118;126;128;22,4;
69.03.24;93;102;105;15,1;
69.03.27;78;86;91;11,1;
69.03.30;52;62;67;6,5;
69.06.09;191;206;207;62,9;
69.06.12;174;192;193;53,7;
69.06.15;158;176;178;44,1;
69.06.18;132;151;152;31,7;
69.06.21;109;127;133;22,2;
69.06.24;83;105;110;15,1;
69.06.27;67;85;90;10,5;
69.06.30;64;74;76;8,2;RAL 7026
69.06.33;49;60;63;6,5;
69.06.36;33;44;47;4,9;
69.09.12;178;202;209;58,5;
69.09.15;147;183;194;46,1;
69.09.18;119;155;169;32,4;
69.09.21;90;134;143;22,9;
69.09.24;65;106;118;14,9;
69.09.27;51;85;95;9,9;
69.09.30;38;70;79;6,9;
69.12.06;202;229;234;76,7;
69.12.09;183;215;223;66,1;
69.12.12;164;205;216;58,4;
69.12.15;127;187;207;46,8;
69.12.18;102;161;182;33,8;
69.12.21;74;137;158;23,6;
69.12.24;52;109;130;15,1;
69.12.27;28;88;109;9,7;
69.12.30;3;69;90;7,0;
69.15.06;194;229;237;74,7;
69.15.09;174;213;225;64,0;
69.15.12;148;206;223;57,2;
69.15.15;110;187;211;45,4;
69.15.18;78;168;197;35,5;
69.15.21;44;142;174;24,7;
69.15.24;0;117;146;16,4;
69.15.27;0;94;121;10,9;
69.18.03;205;232;232;78,7;
69.18.06;190;230;232;74,5;
69.18.09;161;221;225;67,0;
69.18.12;127;208;219;57,3;
69.18.15;75;188;206;44,3;
69.18.18;30;169;194;34,8;
69.18.21;0;146;172;24,7;
69.18.24;0;123;144;17,1;
69.18.27;0;93;117;10,6;
69.21.09;157;221;223;65,9;
69.21.12;113;206;210;54,4;
69.21.15;69;190;198;44,2;
69.21.18;40;173;185;35,8;
69.21.21;0;150;164;25,3;
69.21.24;0;120;135;16,4;
69.21.27;0;95;110;10,8;
69.24.24;0;118;140;15,7;
72.06.24;94;100;102;13,9;RAL 7012
72.06.27;88;94;98;12,0;RAL 7011
72.06.30;63;69;73;7,8;RAL 7016
72.09.03;208;224;219;76,2;
72.09.06;200;227;225;74,3;
72.09.09;178;212;208;63,0;
72.09.12;157;197;195;53,1;
72.09.15;125;172;172;38,9;RAL 6034
72.09.18;119;161;165;34,1;
72.09.21;96;134;139;23,3;
72.09.24;68;109;116;15,3;
72.09.27;50;87;91;10,2;
72.09.30;28;77;85;7,8;
72.12.06;197;229;231;75,4;
72.12.09;171;217;221;65,7;
72.12.12;148;205;211;56,6;
72.12.15;128;184;193;44,7;
72.12.18;96;161;174;33,1;
72.12.21;65;135;152;22,8;
72.12.24;42;114;132;16,1;
72.12.27;17;88;104;10,1;
72.12.30;0;70;86;7,0;
72.15.15;113;187;188;44,6;
72.15.18;88;166;165;34,1;
72.15.21;44;142;143;22,8;RAL 5018
72.15.24;25;114;119;15,4;
72.15.27;14;93;102;10,4;
72.15.30;14;73;81;7,0;RAL 5020
72.18.09;147;221;211;64,9;
72.18.12;113;211;199;56,2;
72.18.15;58;192;183;44,4;
72.18.18;23;175;168;35,7;
72.18.21;0;149;145;25,0;
72.18.24;0;120;121;15,9;RAL 5021
72.18.27;0;95;103;10,3;
72.21.18;0;171;175;34,1;
72.21.21;0;137;142;21,1;
72.21.24;0;122;129;16,6;
72.ME.01;174;184;183;~ 49;
75.01.09;195;197;190;58,3;
75.01.12;185;188;181;52,5;
75.03.03;236;237;232;86,6;RAL 9016
75.03.06;213;214;208;69,2;
75.03.09;198;202;197;61,1;RAL 9018
75.03.12;196;198;196;57,9;RAL 7035
75.03.15;175;177;170;44,7;RAL 7038
75.03.18;142;146;146;30,3;RAL 7042
75.03.21;123;128;126;23,4;
75.03.24;109;112;110;18,0;RAL 7005
75.03.27;83;87;86;11,6;RAL 7043
75.06.03;229;237;231;84,4;
75.06.06;218;224;220;75,7;
75.06.09;204;213;209;67,0;
75.06.12;186;197;194;56,7;
75.06.15;165;178;176;44,8;
75.06.18;138;150;149;31,7;
75.06.21;118;129;127;23,4;
75.06.24;94;105;104;15,7;
75.06.27;71;81;82;9,4;
75.09.03;224;237;230;83,1;
75.09.06;212;229;221;77,7;
75.09.09;193;215;207;66,5;
75.09.12;178;199;192;56,6;
75.09.15;156;180;175;45,0;
75.09.18;135;157;152;33,8;
75.09.21;110;131;126;23,4;
75.09.24;86;106;102;15,2;
75.09.27;45;71;68;7,1;
75.09.30;34;53;50;5,6;
75.12.06;201;228;222;75,2;
75.12.09;181;217;211;65,8;
75.12.12;156;203;197;56,2;
75.12.15;128;185;181;44,1;RAL 6027
75.12.18;116;159;153;32,9;
75.12.21;94;138;135;24,1;
75.12.24;73;111;110;15,6;
75.12.27;33;75;74;7,6;RAL 6004
75.15.09;179;217;206;65,6;
75.15.12;160;203;192;56,2;
75.15.15;139;184;174;45,2;
75.15.18;114;164;155;34,5;
75.15.21;76;136;128;22,5;RAL 6033
75.15.24;69;111;105;15,5;
75.15.27;47;85;84;9,5;
75.18.03;201;236;225;80,6;
75.18.06;177;230;217;72,9;
75.18.09;139;219;202;63,0;
75.18.12;101;207;186;53,2;
75.18.15;44;193;172;43,6;
75.18.18;0;178;161;35,9;
75.18.21;0;151;136;24,7;
75.18.24;0;122;114;16,5;
75.18.27;0;96;90;10,5;
75.21.24;0;111;94;13,2;
75.ME.01;179;181;178;~ 16;
75.ME.02;141;140;137;~ 29;RAL 9007
78.01.03;227;233;229;83,3;
78.01.06;213;218;214;72,2;
78.01.09;199;203;199;62,0;
78.01.12;177;181;178;48,4;
78.01.15;154;159;157;36,5;
78.01.18;134;139;138;28,0;
78.01.21;117;121;120;21,3;
78.01.24;98;102;101;15,4;
78.01.27;79;82;82;10,3;
78.01.30;67;70;69;8,4;
78.01.33;48;53;52;5,9;
78.03.03;227;236;225;84,0;
78.03.06;216;227;218;76,2;
78.03.09;194;206;195;62,1;
78.03.12;183;199;188;57,0;
78.03.15;161;181;169;45,8;
78.03.18;132;153;143;31,7;
78.03.21;109;128;120;22,2;
78.03.24;85;101;95;14,3;
78.03.27;59;79;77;9,3;
78.03.30;59;71;69;6,9;RAL 6012
78.06.03;223;238;222;84,0;
78.06.06;204;230;212;76,3;
78.06.09;175;217;193;64,1;
78.06.12;149;201;174;53,3;
78.06.15;141;185;160;45,2;
78.06.18;115;163;138;33,1;
78.06.21;72;138;110;22,8;
78.06.24;65;119;99;17,0;RAL 6000
78.06.27;56;89;75;10,0;RAL 6028
78.06.30;40;68;56;7,2;
78.09.03;219;230;219;79,6;
78.09.06;204;228;215;75,1;
78.09.09;185;215;200;65,2;
78.09.12;164;203;185;56,3;
78.09.15;134;182;164;43,5;
78.09.18;114;162;145;33,3;
78.09.21;90;134;113;22,6;
78.09.24;71;110;93;15,0;
78.12.12;146;205;182;55,2;
78.12.15;112;187;160;43,6;
78.12.18;84;166;138;33,0;
78.12.21;0;148;126;24,8;
78.12.24;0;120;100;15,7;
78.12.27;0;97;82;10,5;RAL 6026
78.15.15;111;186;165;43,5;
78.15.18;88;167;146;33,8;
78.15.21;70;142;120;24,0;
78.15.24;44;112;93;14,8;
78.15.27;25;88;77;9,5;
78.18.03;186;235;216;77,9;
78.18.06;172;232;209;73,6;
78.18.09;144;220;192;63,3;
78.18.12;104;209;176;53,6;
78.18.15;67;195;160;45,1;
78.18.18;33;175;140;34,8;
78.18.21;0;150;115;24,4;
78.18.24;0;125;89;16,5;
81.03.03;230;235;228;84,0;
81.03.06;219;227;220;76,6;
81.03.09;192;200;195;59,1;
81.03.12;176;185;180;49,7;
81.03.15;168;177;172;45,0;
81.03.16;153;161;156;37,4;
81.03.18;139;147;141;30,6;
81.03.21;117;125;119;22,4;
81.03.24;98;107;102;16,1;
81.03.27;72;83;79;10,2;
81.03.30;56;63;61;6,2;
81.03.33;34;46;46;5,0;
81.06.03;230;238;224;85,0;
81.06.06;212;223;209;74,1;
81.06.09;203;212;196;66,0;
81.06.12;182;197;182;55,6;
81.06.15;158;175;159;42,9;
81.06.16;147;163;147;37,1;
81.06.18;136;151;135;31,6;
81.06.21;110;125;109;21,2;
81.06.24;83;99;83;13,3;
81.06.27;71;81;71;9,5;
81.06.30;50;63;55;6,1;RAL 6009
81.06.33;42;55;49;5,8;
81.09.03;227;238;210;83,6;
81.09.06;213;227;200;74,9;
81.09.09;197;216;183;66,9;
81.09.12;181;204;171;57,8;RAL 6019
81.09.15;154;183;149;45,4;
81.09.16;141;171;139;39,1;
81.09.18;129;160;126;33,6;
81.09.21;99;131;105;21,6;
81.09.24;71;101;79;13,1;
81.09.27;57;84;67;9,7;
81.09.30;33;73;60;7,0;RAL 6005
81.12.06;200;231;173;75,5;
81.12.09;185;212;163;62,6;
81.12.12;164;202;148;54,4;
81.12.15;139;186;127;44,2;
81.12.16;129;173;118;38,1;
81.12.18;114;154;104;29,9;
81.12.21;111;139;107;24,6;
81.12.24;83;103;79;13,4;
81.12.27;61;82;62;9,1;
81.12.30;52;71;59;7,0;
81.12.33;53;60;49;6,2;RAL 6007
81.15.09;151;223;186;65,0;
81.15.12;115;209;160;53,9;
81.15.15;69;194;137;43,4;
81.15.18;0;180;122;35,9;
81.15.21;15;147;95;23,7;
81.15.24;0;134;85;19,5;RAL 6024
81.15.27;38;130;86;18,5;RAL 6032
81.15.30;0;108;80;12,9;RAL 6016
81.18.12;151;215;163;59,7;
81.18.15;104;199;120;47,2;
81.18.18;74;169;96;33,2;
81.18.21;0;148;76;23,3;
81.18.24;0;121;75;15,2;
81.18.27;0;113;65;13,8;RAL 6029
81.18.30;0;97;59;10,1;
81.18.33;5;87;63;8,9;
84.03.24;128;128;120;23,1;RAL 7023
84.06.03;230;234;218;82,3;
84.06.06;223;225;205;76,7;
84.06.09;218;224;205;74,8;
84.06.12;205;211;191;65,6;
84.06.15;193;200;178;58,3;
84.06.18;174;180;157;46,4;
84.06.21;142;151;127;31,7;
84.06.24;128;132;119;24,1;RAL 7033
84.06.25;108;113;99;18,1;
84.06.27;93;99;84;13,8;
84.06.30;75;81;70;9,6;
84.09.09;220;226;195;75,3;
84.09.12;199;211;173;64,0;
84.09.15;192;203;160;58,1;
84.09.18;163;180;140;44,8;
84.09.21;138;154;114;32,1;
84.09.24;134;155;122;31,9;RAL 6021
84.09.27;107;127;94;20,7;RAL 6011
84.09.30;70;85;62;9,9;
84.09.33;62;74;58;8,3;RAL 6020
84.12.18;159;184;117;45,5;
84.12.21;124;158;84;31,2;
84.12.24;107;133;84;22,3;
84.12.27;91;113;66;16,0;RAL 6025
84.12.30;60;85;51;9,8;
84.15.09;210;232;170;77,3;
84.15.12;192;222;151;68,9;
84.15.15;174;206;128;56,6;
84.15.18;146;188;98;44,6;
84.15.21;108;159;66;30,2;
84.15.24;93;130;61;20,3;
84.15.27;77;115;64;14,9;RAL 6010
84.15.30;56;96;56;11,1;RAL 6002
84.18.09;194;232;174;74,3;
84.18.12;163;220;141;63,2;
84.18.15;139;212;120;56,4;
84.18.18;113;199;91;47,5;
84.18.21;90;169;77;33,1;
84.18.24;87;130;69;20,1;RAL 6017
84.18.27;59;108;64;13,3;RAL 6001
84.21.03;218;235;199;80,9;
84.21.06;212;230;185;77,5;
84.21.09;210;233;151;76,7;
84.21.12;186;225;122;67,6;
84.21.15;162;207;95;56,1;
84.21.18;142;191;79;45,4;
84.21.21;113;164;39;32,1;
84.21.24;91;155;66;27,2;RAL 6018
84.21.27;44;141;51;21,8;
84.21.30;14;112;56;14,0;
84.ME.01;125;131;117;~ 22;DB 601
87.03.03;234;235;225;84,3;
87.03.06;221;222;212;74,5;
87.03.09;199;200;191;59,7;
87.03.12;186;188;177;51,9;
87.03.15;174;176;165;44,9;
87.03.18;147;148;138;31,6;
87.03.21;124;126;116;22,3;
87.03.24;102;103;93;15,5;
87.03.27;84;85;77;11,0;
87.03.30;66;68;62;7,1;RAL 6015
87.06.03;234;236;217;84,4;
87.06.06;223;226;202;76,3;
87.06.09;207;211;187;65,6;
87.06.12;193;197;172;56,3;
87.06.15;172;177;149;44,6;
87.06.18;148;150;130;32,1;
87.06.21;124;127;109;22,7;
87.06.24;95;99;80;13,7;
87.09.03;232;237;200;83,6;
87.09.06;220;229;173;76,3;
87.09.09;203;212;154;64,6;
87.09.12;189;196;150;55,2;
87.09.15;170;180;129;45,0;
87.09.18;145;152;104;31,6;
87.09.21;121;129;91;22,6;
87.09.24;95;102;67;14,4;
87.09.27;75;85;60;10,1;
87.12.09;197;216;139;67,1;
87.12.12;190;200;133;56,3;
87.12.15;165;180;108;44,0;
87.12.18;148;160;95;34,2;
87.12.21;114;126;72;20,6;
87.12.24;95;105;60;14,3;
87.12.27;67;81;44;9,2;
87.15.03;232;237;184;83,0;
87.15.06;227;238;166;81,7;
87.15.09;210;230;128;72,4;
87.15.12;196;219;82;64,3;
87.15.15;162;185;62;45,4;
87.15.18;151;166;24;35,0;
87.15.21;122;139;39;24,0;
87.18.15;185;213;43;60,0;
87.18.18;161;188;33;45,1;
87.ME.01;174;172;159;~ 14;
90.03.06;221;220;205;73,9;
90.03.09;205;205;188;62,9;
90.03.15;186;185;169;50,4;
90.03.18;179;176;160;44,4;RAL 7032
90.03.19;151;151;139;32,9;
90.03.21;120;119;106;20,2;RAL 7003
90.03.24;96;100;92;13,2;RAL 7009
90.03.27;90;94;90;12,8;RAL 7010
90.03.30;82;81;77;9,8;RAL 7022
90.06.03;235;234;216;84,7;
90.06.06;223;224;201;75,2;
90.06.09;213;211;187;66,5;
90.06.12;192;192;170;54,5;
90.06.15;179;177;151;45,5;
90.06.18;149;147;123;30,7;
90.06.21;127;125;103;22,3;
90.06.24;99;99;80;14,1;
90.06.27;79;80;66;9,5;
90.06.30;70;70;62;7,2;RAL 6006
90.06.33;63;62;54;6,0;RAL 6008
90.09.03;236;239;207;86,5;
90.09.06;223;225;191;76,1;
90.09.09;209;207;171;64,0;
90.09.12;200;198;151;57,6;
90.09.15;175;175;124;43,8;
90.09.18;151;150;102;31,3;
90.09.21;130;126;86;22,1;
90.09.24;101;101;66;14,1;
90.09.27;83;88;67;10,6;RAL 6003
90.12.06;224;226;175;75,5;
90.12.09;210;212;156;66,4;
90.12.12;201;202;123;58,1;
90.12.15;180;176;89;43,8;
90.12.18;152;148;64;30,0;
90.12.21;126;124;45;21,2;
90.12.24;103;103;51;15,0;
90.15.06;220;226;121;74,9;
90.15.09;205;214;90;64,5;
90.15.12;190;200;50;55,2;
90.15.15;183;177;1;42,6;
90.18.12;194;203;33;57,2;
90.ME.01;176;171;145;~ 41;
93.03.03;233;235;232;84,2;RAL 9003
93.03.06;236;235;225;85,5;RAL 9010
93.03.09;223;223;205;75,2;
93.03.12;217;211;188;67,3;
93.03.15;200;195;174;56,8;
93.03.18;178;171;145;43,1;
93.03.21;144;137;113;27,4;RAL 7034
93.03.24;130;124;104;22,2;RAL 7002
93.03.27;99;94;77;12,9;
93.03.30;83;79;65;9,5;
93.03.33;72;67;61;7,4;
93.06.06;241;239;226;89,2;
93.06.09;237;232;214;83,7;
93.06.12;225;221;194;73,5;
93.06.15;213;208;180;64,9;
93.06.18;201;197;169;57,8;
93.06.21;183;176;147;45,4;
93.06.24;150;146;122;30,6;
93.06.27;122;119;92;20,1;RAL 6013
93.06.30;105;103;86;15,1;
93.06.33;86;85;71;10,5;
93.09.12;226;224;181;75,2;
93.09.15;209;209;161;65,4;
93.09.18;205;199;146;58,0;
93.09.21;181;172;121;43,1;
93.09.24;157;150;102;32,0;
93.09.27;135;126;80;22,4;
93.09.30;104;97;62;13,6;
93.09.33;83;78;52;9,7;
93.12.12;229;224;165;75,6;
93.12.15;221;212;142;67,5;
93.12.18;211;198;121;57,6;
93.12.21;183;172;104;43,2;
93.12.24;152;142;75;28,1;
93.12.27;132;122;60;20,6;
93.15.06;243;243;204;90,0;
93.15.09;242;241;186;87,7;
93.15.12;240;230;131;79,3;
93.15.15;230;216;98;69,6;
93.15.18;217;199;63;58,0;
93.15.21;187;175;48;43,9;
93.15.24;161;146;37;29,8;
93.18.15;225;221;64;72,5;RAL 1016
93.18.18;229;210;20;64,6;
96.09.03;245;240;213;88,4;
96.09.06;231;224;183;75,6;
96.09.09;219;209;161;65,8;
96.09.12;215;202;147;60,2;
96.09.15;199;186;137;50,5;RAL 1000
96.09.18;155;142;101;29,7;RAL 1020
96.09.21;134;123;80;21,4;
96.09.24;110;101;63;14,7;
96.12.01;240;236;219;87,0;
96.12.02;238;234;213;85,0;
96.12.03;236;232;207;82,1;
96.12.06;231;222;183;74,2;
96.12.09;226;212;147;68,0;
96.12.12;215;199;125;59,1;
96.12.15;193;174;101;44,4;
96.12.18;161;146;79;30,3;
96.12.21;134;119;61;20,2;
96.15.06;237;225;177;77,2;
96.15.09;230;212;130;68,3;
96.15.12;221;198;100;58,8;
96.15.15;196;172;71;44,0;
96.15.18;164;146;57;30,3;
96.18.01;241;236;214;86,9;
96.18.02;243;233;188;84,3;
96.18.03;245;230;168;81,9;
96.18.06;241;223;148;75,8;
96.18.09;229;207;97;64,9;
96.18.12;224;199;92;59,4;
96.18.15;201;171;47;43,2;
96.18.18;168;149;28;32,4;
96.21.06;246;227;141;79,7;
96.21.09;237;209;84;66,7;
96.21.12;231;201;67;61,4;
96.21.15;203;178;25;46,8;
96.24.09;239;204;63;63,3;RAL 1018
96.24.12;241;210;22;67,6;
99.00.03;236;236;230;85,9;
99.00.06;231;231;227;82,7;
99.00.09;224;225;222;78,0;
99.00.12;212;213;211;69,0;
99.00.15;200;201;200;61,7;
99.00.18;193;194;194;56,9;
99.00.21;182;183;183;50,2;
99.00.24;173;175;175;45,2;
99.00.27;160;161;162;38,2;
99.00.30;151;152;153;33,6;
99.00.33;143;144;145;30,1;
99.00.36;130;131;131;24,7;
99.00.39;122;124;125;22,3;
99.00.42;115;117;118;19,8;
99.00.45;105;106;107;16,3;
99.00.48;95;96;99;13,9;
99.00.51;86;87;91;11,7;
99.00.54;77;77;80;9,7;
99.00.57;71;71;74;8,1;
99.00.60;63;63;67;7,0;
99.00.63;57;58;60;5,6;RAL 9004
99.00.66;54;54;55;4,5;RAL 9017
99.00.69;23;24;25;4,2;RAL 9005
