Scala-Nr.;R;G;B;HBW;RAL
12.09.09;218;192;160;57,2;
12.09.12;203;176;146;48,6;
12.09.15;191;163;135;41,4;
12.09.18;170;139;109;30,5;
12.09.19;156;126;99;25,3;
12.09.21;140;111;86;19,0;
12.09.24;118;93;69;13,9;
12.09.27;99;77;58;10,0;
12.09.30;80;64;54;6,9;RAL 8014
12.09.33;42;39;40;4,3;RAL 8022
12.12.06;241;214;179;72,2;
12.12.09;232;203;161;64,5;
12.12.12;217;180;132;51,5;
12.12.15;198;158;114;39,9;
12.12.17;184;144;102;33,9;
12.12.18;171;132;86;27,6;RAL 1011
12.12.21;149;110;69;19,7;
12.12.24;132;95;61;15,1;
12.12.27;114;81;51;11,8;RAL 8008
12.13.12;226;181;118;53,3;
12.13.15;212;167;105;45,9;
12.13.18;183;137;80;31,3;
12.15.03;246;233;204;86,1;
12.15.06;247;221;182;76,8;
12.15.09;235;197;147;61,2;
12.15.12;238;187;118;56,7;
12.15.13;225;170;102;49,0;
12.15.15;216;156;83;40,8;
12.15.18;189;135;72;30,2;
12.15.21;154;103;56;18,9;RAL 8001
12.15.24;134;87;47;13,7;
12.18.02;246;227;189;81,3;
12.18.03;247;224;178;79,3;
12.18.06;250;218;162;75,6;
12.18.07;247;209;149;71,2;
12.18.09;246;201;134;65,2;
12.18.12;237;170;85;50,2;RAL 1017
12.18.15;240;154;41;44,9;RAL 1033
12.18.18;224;140;0;37,6;RAL 1007
12.18.21;173;109;42;22,2;
12.21.12;255;178;69;56,2;
12.21.15;254;157;0;46,7;RAL 1028
12.21.18;231;148;32;41,1;RAL 1037
15.03.03;237;232;222;83,5;
15.03.06;229;221;211;76,0;
15.03.09;210;200;190;61,4;
15.03.12;194;182;169;50,4;
15.03.15;174;162;151;39,6;
15.03.18;154;144;136;31,2;
15.03.21;136;126;119;23,9;
15.03.22;125;115;110;20,4;
15.03.24;117;105;99;17,2;
15.06.03;247;237;227;87,7;
15.06.06;231;223;211;76,1;
15.06.09;221;207;192;66,4;
15.06.12;208;193;177;56,1;
15.06.15;187;168;153;43,6;
15.06.16;173;156;142;37,2;
15.06.18;161;141;128;30,3;
15.06.21;151;130;116;26,0;
15.06.22;131;110;96;19,6;
15.06.24;118;93;78;13,9;RAL 8025
15.06.27;89;73;65;8,9;
15.06.30;73;56;53;6,5;RAL 8017
15.09.03;245;232;213;83,8;
15.09.06;235;222;205;76,2;
15.09.09;223;202;181;63,5;
15.09.12;216;191;167;57,0;
15.09.15;203;172;146;46,5;
15.09.17;187;154;130;38,4;
15.09.18;175;139;113;31,2;
15.09.21;149;115;93;21,8;
15.09.24;119;85;65;13,0;RAL 8024
15.09.27;98;73;59;9,4;
15.09.30;85;66;54;8,0;RAL 8028
15.12.03;239;223;200;77,0;
15.12.06;242;218;194;74,8;
15.12.09;234;203;171;65,5;
15.12.12;226;187;151;56,1;
15.12.15;211;160;117;42,4;
15.12.18;183;135;99;30,5;
15.12.21;158;109;72;20,2;
15.12.24;125;81;51;12,7;RAL 8003
15.12.27;112;76;53;10,5;RAL 8007
15.15.01;246;237;221;88,3;
15.15.03;247;232;213;85,1;
15.15.06;247;218;188;76,4;
15.15.09;242;199;158;65,1;
15.15.12;234;180;134;55,3;
15.15.15;229;164;106;46,6;
15.15.18;195;132;76;30,6;
15.15.21;167;109;60;21,5;
15.15.24;138;86;49;13,9;
15.18.06;249;218;185;76,4;
15.18.07;246;206;164;69,4;
15.18.09;252;197;142;64,3;
15.18.12;253;178;104;56,5;
15.18.15;228;157;87;44,2;RAL 1034
15.18.18;196;123;55;27,9;
15.18.21;173;108;53;21,5;
15.21.15;240;148;38;41,6;
15.21.18;204;123;39;28,9;
15.ME.01;117;96;83;~ 13;Kupfer
18.06.03;240;233;225;83,6;
18.06.06;228;219;211;74,0;
18.06.09;216;206;199;65,3;
18.06.12;199;189;183;54,6;
18.06.15;182;171;165;44,0;
18.06.17;165;156;150;36,7;
18.06.18;156;144;138;31,2;
18.06.21;130;120;117;21,5;
18.06.24;106;95;93;14,0;
18.06.27;86;75;73;9,3;
18.06.30;67;58;57;6,4;
18.06.33;58;49;48;5,6;
18.09.03;241;226;209;80,9;
18.09.06;232;213;192;71,6;
18.09.09;225;197;174;62,5;
18.09.12;219;186;161;56,1;
18.09.13;211;176;153;50,4;
18.09.15;201;164;140;43,2;
18.09.18;178;139;117;31,4;
18.09.21;150;114;96;21,1;
18.09.24;134;95;76;15,8;
18.09.25;111;75;59;11,3;
18.09.27;94;65;52;8,1;RAL 8011
18.09.30;83;57;47;7,0;
18.12.03;240;218;198;76,1;
18.12.06;249;217;192;76,0;
18.12.07;242;206;180;69,4;
18.12.09;235;197;169;62,8;
18.12.13;224;176;142;52,1;
18.12.15;215;160;124;43,2;
18.12.18;191;135;101;31,5;
18.12.21;165;114;84;22,3;
18.12.24;138;86;61;14,2;
18.12.27;116;71;54;10,0;
18.12.30;97;57;40;8,5;
18.15.09;251;192;153;64,2;
18.15.12;252;181;138;57,3;
18.15.15;233;156;110;44,3;
18.15.18;195;123;82;28,6;
18.15.21;167;105;64;20,8;
18.15.24;160;92;54;17,6;RAL 8023
18.15.27;144;80;56;13,7;
18.15.30;127;75;54;12,1;
18.15.33;104;62;46;8,8;
18.18.12;247;169;114;52,7;
18.18.15;239;149;87;42,6;
18.18.18;213;124;68;30,6;
18.21.15;248;143;69;41,7;
18.21.18;219;114;43;30,2;RAL 2011
18.24.18;243;128;9;36,7;
18.24.21;212;113;30;28,3;RAL 2000
21.06.21;148;126;119;25,4;
21.06.24;123;104;98;17,5;
21.06.27;99;83;77;11,8;
21.06.30;80;66;62;8,1;
21.06.33;58;47;44;5,6;
21.09.02;247;234;221;87,6;
21.09.03;247;233;219;85,5;
